date,id,content,username,like_count,retweet_count
2023-06-06 20:03:48+00:00,1666174066829533185,Dear @Dyson the products are cool but the customer service is absolute garbage.  If anyone is thinking of buying a #dyson pray nothing goes wrong with your item. It’s a horrible experience &amp; it ends with me personally returning the items to purolator though it’s their mistake,LauraLeigh19,0,0
2023-06-06 19:40:18+00:00,1666168155138318336,"@CrtclSprnkls Hi Krista, we'll contact the depot to see if it can be intercepted and made available for pick up for you. Thanks. -Catherine",PurolatorHelp,0,0
2023-06-06 19:38:41+00:00,1666167748626399234,"@lieu_days Hi Lu, we're sorry to hear about this incident. The police will open an investigation and will reach out to our Loss and Prevention team, if needed. You can DM me the contact info you have for the claims, we'll make sure someone reaches out to you in timely fashion. -Catherine",PurolatorHelp,0,0
2023-06-06 17:05:01+00:00,1666129074887045145,"@FnxAu_streams Hello, our sincere apologies. Can you please send us a DM with the tracking number? Thanks. - Delphine",PurolatorHelp,0,0
2023-06-06 17:03:17+00:00,1666128638809452557,"Sitting at home with the door open and @PurolatorInc @PurolatorHelp 
Somehow manages to tell me they missed me.

Been here all day. #purolator

This happens all the time. Try actually knocking. Or literally anything. https://t.co/WTk3FnzexW",FnxAu_streams,0,0
2023-06-06 16:43:55+00:00,1666123766290845696,"We're proud to be launching the first ever #Edmonton Purolator Tackle Hunger Red Bag campaign kicking off this Saturday, June 10, in support of @yegfoodbank. Learn more about Purolator Tackle Hunger at https://t.co/kWUQUoJuPx",PurolatorInc,3,0
2023-06-06 16:41:13+00:00,1666123085458690054,"Purolator: we can't deliver we could not find your buzzer

Me: I don't have a buzzer

Purolator: please provide a buzzer #

Me: there isn't one just call me

Purolator: buzz plz https://t.co/yQ9p0xp48m",mathodical1018,7,0
2023-06-06 16:33:36+00:00,1666121167680286727,"@BIvymusic Yeah only got shipping for azure in Canada, usually ships with purolator, but this time it’s Tforce…🤞🏼",carmfigliuzzi,0,0
2023-06-06 15:27:35+00:00,1666104556197933066,@saskGuru I've sent a request for pickup today to let the depot know the item is ready. They will pickup anytime between now and 4:00 PM today. -Vanessa,PurolatorHelp,0,0
2023-06-06 15:09:14+00:00,1666099939951140865,Check out this New and Used Toyota oil filter!! https://t.co/3qvPmIKm0Z #truck  #engine #oil #fram #motorcraft  #purolator #mobil #supertech #autorepair,Whipcitywrench1,1,0
2023-06-06 13:45:32+00:00,1666078875351130114,@GidzakNick Then it may not be that we don't service your area. Please send us your tracking number by DM. We'll review the details for you. -Vanessa,PurolatorHelp,0,0
2023-06-06 13:42:06+00:00,1666078012079480832,@PurolatorHelp (Side note we had packages delivered by purolator just last week),GidzakNick,0,0
2023-06-06 13:39:39+00:00,1666077393876840448,@GidzakNick Depots evaluate volumes in all areas for deliveries and services. If they are unable to complete delivery to your residence due to it being rural the item would be made available for pickup at the closest shipping depot/agent. -Vanessa,PurolatorHelp,0,0
2023-06-06 13:34:25+00:00,1666076076282355712,"@PurolatorHelp 

How come my address is no longer deliverable by purolator ?",GidzakNick,0,0
2023-06-06 00:28:36+00:00,1665878320724992001,"Congratulations to the @sdpnsports for celebrating #SDPTEN I would have to say my favourite moments of the show were @Steve_Dangle and the pepper, and also watching every episode to play spot the Purolator Truck. @AdamWylde @JesseBlake",Scorton87,1,0
2023-06-05 23:39:08+00:00,1665865869245702144,"@Starfishlb Hello, can you DM me your tracking number? Thanks - Guylaine",PurolatorHelp,0,0
2023-06-05 22:47:43+00:00,1665852930883190785,@saskGuru Can you send us a DM? Thanks - Guylaine,PurolatorHelp,0,0
2023-06-05 22:46:53+00:00,1665852721260384259,"@Garence_ Thanks for this additional information. If you need to contact Purolator directly, you'll find their contact information here: https://t.co/yzJfDrW9kx. Please continue to update us on the progress of this delivery. -Matt",AmazonHelp,0,0
2023-06-05 22:29:54+00:00,1665848448694775811,"@saskGuru Hello Peter, was this for a pickup at BLS or at your residence? Thanks - Guylaine",PurolatorHelp,0,0
2023-06-05 20:52:43+00:00,1665823990177308673,"@Garence_ Hi Gary. Our sincere apologies. Please send us a DM with the tracking number, and we will look into this for you. -Nicole",PurolatorHelp,0,0
2023-06-05 20:42:53+00:00,1665821516380995584,@AmazonHelp Purolator says they can’t deliver my dryer today because its heavy. This after i waited home all day to help get it off the truck.,Garence_,0,0
2023-06-05 20:34:29+00:00,1665819400044249103,"June is Purolator Tackle Hunger month. They've raised over 20 MILLION pounds of food for food banks across Canada! 
@PurolatorInc The Red Bag Campaign will be in Lewis Estates SATURDAY (June 10) to drop off bags, and June 17th to pick them up. #yeg #edmonton https://t.co/1Pjlw4CmMS",yegfoodbank,1,1
2023-06-05 19:41:25+00:00,1665806047800336387,@0xm4tty Hello Matt. Please send us a DM if there's anything we can help with. -Nicole,PurolatorHelp,0,0
2023-06-05 18:12:07+00:00,1665783572358131715,@ehmege I see. Can you please DM me your phone number? I will check in our system. -Nicole,PurolatorHelp,0,0
2023-06-05 18:03:55+00:00,1665781509775585282,@ehmege Hello Amy. Our apologies. Can you please DM me with your reference number and I will look into this for you? -Nicole,PurolatorHelp,0,0
2023-06-05 17:31:10+00:00,1665773267607515140,"🌈 This #PrideMonth, Purolator is highlighting inspiring stories and voices from our 2SLGBTQ+ community and allies. Today, we celebrate Delphine's journey as the first in our series of profiles fostering inclusivity at Purolator and in our communities. https://t.co/Q4Dgy2tTnZ https://t.co/ldIYdnOJYH",PurolatorInc,2,0
2023-06-05 16:31:08+00:00,1665758159191801865,"@Senth1lPandian Hi, our sincere apologies. Can you please send us a DM with the tracking number? Thanks. -Nicole",PurolatorHelp,0,0
2023-06-05 14:23:38+00:00,1665726074502934534,"I have three amazon returns to drop off- one goes to purolator with no box- one goes to UPS fully boxed and ready and the third goes to Canada Post....

This is not a joke or a math question.",AndreaAndrya,2,0
2023-06-05 13:50:52+00:00,1665717828870348803,This arrived this morning by Purolator.  it's what we are all about. love ❤️ it we've got your back. and the world is full of color. Reach out to me to learn more. I am here to help business owners keep more of their hard earned money 💰 https://t.co/8m6zHMsgu3,TimHousser,0,0
2023-06-05 12:24:06+00:00,1665695991427629056,@JulieDoner You're welcome!,PurolatorHelp,1,0
2023-06-05 12:21:45+00:00,1665695400907382784,"@ShadowVlican Hello, please send us your full address through DM, here on Twitter. We will assist you with this. Thank you, -Vanessa",PurolatorHelp,0,0
2023-06-05 12:14:58+00:00,1665693693511184386,"@bluekight_009 Hi, our sincere apologies. Can you please send us a DM with the tracking number? Thanks. -Vanessa",PurolatorHelp,0,0
2023-06-05 12:13:41+00:00,1665693371757731841,"@JulieDoner Hello, this tracking number belongs to Canada post. You can use this number on their website to track the progress of your shipment. Thank you, -Vanessa",PurolatorHelp,1,0
2023-06-05 12:10:35+00:00,1665692592514777088,"@the_cats_meow28 Hello, please send us your tracking number through DM, here on Twitter. We will look into this for you. Thank you, -Vanessa",PurolatorHelp,0,0
2023-06-04 21:40:32+00:00,1665473636063494149,@fivedollardare It’s truly the worst place for a package to end up and in my experience Purolator NEVER tried to buzz or call. One time I was able to convince them to drop it off downtown as they have a location in place ville Marie but they normally don’t,redroomrantings,1,0
2023-06-04 21:33:24+00:00,1665471842939748352,"@redroomrantings Is this the tunnel near the industrial part of town where Purolator is? Like, way way west on St. Jacques",fivedollardare,6,0
2023-06-04 15:02:06+00:00,1665373366281175043,"@ask_aubry Put it in a Purolator envelope
send it on a Friday to him at his place of work with the least expensive rate
taking as long as possible
track it
when he receives it ask him a bunch of questions abt his day, anything interesting happen type of questions, let us know his reaction",pop_rroxx,3,0
2023-06-03 22:32:25+00:00,1665124304176967681,Ghuh!!! Purolator lost my book or it got stolen! 😭,LiseBobDela,0,0
2023-06-03 16:12:23+00:00,1665028667385208833,You can add @Purolator,Lolly65Lioness,1,1
