date,id,content,username,like_count,retweet_count
2023-06-06 20:39:01+00:00,1666182930425585664,"@KirkLubimov That’s Weimar Canada, post-national, woke, permissive of all sorts of degeneracy, spiritually broken.",DariusXCVI,0,0
2023-06-06 20:24:34+00:00,1666179294689624066,"@ottawabluesfest I paid 12$ Canada Post, as well as my full festival pass, only for my tickets to not arrive and no assistance 🫨",Gayytie,0,0
2023-06-06 20:06:02+00:00,1666174630728544266,"Canada Post Stamp, 2011, Zodic Rabbit, Animal Stamp, Good Condition Collection, MNH FSLHMOU

https://t.co/EvW5Rwhx2m https://t.co/OCool9sgS0",elda16a,0,0
2023-06-06 19:12:03+00:00,1666161043150630918,"This arrived on time today!! 
Thank you Canada Post!! https://t.co/dYePfuNm0D",ginya97,0,0
2023-06-06 19:00:06+00:00,1666158039391404040,@sp00ky20 @canadapostcorp Hi - please send us a DM with your mailing address so we can look into this.,canadaposthelps,1,0
2023-06-06 18:55:28+00:00,1666156869499473922,"A bank I have accounts at mailed me a pretty flyer inviting me to take on credit at 10% interest. Hmmm. They are pissing away perfectly good money, they are, wasting paper, ink and time, but at least they’re keeping Canada Post busy.",hunkybill,0,0
2023-06-06 18:51:32+00:00,1666155879589085200,"UPS continues its record of having never successfully delivered a package to me. Even FedEx manages it, albeit always with an error, delay, or extra charge.

I've never had a problem with Canada Post, Intelcom, or DHL.
I love DHL.",Leodmanx2,0,0
2023-06-06 18:38:14+00:00,1666152536527470616,"Why is it so impossible to speak with someone local @CanadaPost by phone? I spent over an hour today being passed around to different people on the mainland who were not able to help me and just kept giving me more 1-800 numbers to try, where I would get the same response!",2009Karen,0,0
2023-06-06 18:07:04+00:00,1666144692344324103,"@brittneymcc11 Hi, can you DM us you’re tracking number so we can take a further look?",canadaposthelps,0,0
2023-06-06 17:33:07+00:00,1666136149448962074,"Full delivery and postal services will resume once conditions improve and it’s safe to do so. The safety of our employees is our number one priority.

We thank those affected for their patience in this difficult time.

(4/4)",canadaposthelps,0,0
2023-06-06 17:33:07+00:00,1666136147712520204,"A yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to poor air quality from wildfires:
· Normetal, Que.
· Outaouais, Que.

(3/4)",canadaposthelps,0,0
2023-06-06 17:33:07+00:00,1666136145934135317,"Today, there are no deliveries in the following regions as weather conditions from wildfires have made it unsafe:
· Lebel-sur-Quevillon, Que.
· Lac-Simon, Que.

(2/4)",canadaposthelps,0,0
2023-06-06 17:33:06+00:00,1666136144180916241,"Update: Canada Post Service Alerts for June 6: Red and yellow delivery service alerts issued for parts of Quebec

(1/4)",canadaposthelps,0,0
2023-06-06 17:21:34+00:00,1666133240535560219,"Full delivery and postal services will resume once conditions improve and it’s safe to do so. More information can be found on our Closures and Interruptions webpage: https://t.co/b9U44LZAzv.

We thank those affected for their patience in this difficult time.

(2/2)",canadaposthelps,0,0
2023-06-06 17:21:34+00:00,1666133238706733057,"Canada Post Service Alerts for June 6: Red delivery service alert issued for parts of Alberta

Today, there are no deliveries in the following regions as weather conditions from wildfires have made it unsafe:
· Fox Lake, Alta.
· Fort Chipewyan, Alta.

(1/2)",canadaposthelps,0,0
2023-06-06 16:52:26+00:00,1666125909961723905,"@DonaldBestCA @Jhutch43945987 @ShopprsDrugMart Indeed.

Incidentally, in an unrelated matter, I declared myself to be independently wealthy by winning the lottery, despite not having bought a ticket. 

For some reason, the cheque just hasn't arrived... Canada Post must be to blame...💲

#NotAllLottoWinnersBuyTickets",UncleNestor22,4,0
2023-06-06 16:36:45+00:00,1666121961267666944,"I'll trade one of these hideously fetching, limited edition, pez collectibles, of your choice, to someone within the Canada Post/continental US Mail reach, in exchange for officially nominating this article on the Pulitzer Prize site, for the cost of $75USD. https://t.co/IbzebhFbnZ",SketchyDetails,0,0
2023-06-06 16:31:15+00:00,1666120576245563392,"Full delivery and postal services will resume once conditions improve and it’s safe to do so. The safety of our employees is our number one priority.

We thank those affected for their patience in this difficult time.

(2/2)",canadaposthelps,1,1
2023-06-06 16:31:14+00:00,1666120574484062208,"Canada Post Service Alerts for June 6: Yellow mail delivery service alert issued for parts of Ontario

A yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to poor air quality from wildfires
·Ottawa, Ont.

(1/2)",canadaposthelps,2,1
2023-06-06 16:28:48+00:00,1666119962417672210,"Full delivery and postal services will resume once conditions improve and it’s safe to do so. The safety of our employees is our number one priority.

We thank those affected for their patience in this difficult time.

(3/3)",canadaposthelps,0,0
2023-06-06 16:28:48+00:00,1666119960832225285,"A yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to poor air quality from wildfires:
· Outaouais, Que.

(2/3)",canadaposthelps,0,0
2023-06-06 16:28:47+00:00,1666119959284527110,"Canada Post Service Alerts for June 6: Yellow mail delivery service alert issued for parts of Quebec

(1/3)",canadaposthelps,0,0
2023-06-06 16:24:18+00:00,1666118830022877184,"Canada Post issue a postal stamp for Iran’s “Woman, Life, Freedom” revolution - Sign the Petition! https://t.co/OYgkwbzo1b via @CdnChange",CatherineYaning,0,0
2023-06-06 15:30:20+00:00,1666105249935900674,"‘People Waiting’ by the late John Hooper was originally commissioned by Canada Post in 1975. The public art pieces are now located inside the uptown Saint John pedway, following repairs and restoration.  https://t.co/Er7FiJHTdi",CTVAtlantic,6,1
2023-06-06 14:51:02+00:00,1666095357053501443,"Canada Post lost my robotic vacuum return.
Amazon pre-paid for the return.
Leads one to the age-old question:
""Does Amazon insure their returns?""
@AmazonHelp",ccleighton,1,1
2023-06-06 14:50:33+00:00,1666095237444554752,"We thank those affected for their patience in this difficult time.

(5/5)",canadaposthelps,0,0
2023-06-06 14:50:33+00:00,1666095234319781891,"Effective on June 6, eligible residents can receive free Mail Forwarding service for up to 12 months. Impacted residents have until July 5 to register for the free service.

More information can be found on our Closures and Interruptions webpage: https://t.co/AP3TddAapA.

(4/5)",canadaposthelps,0,0
2023-06-06 14:50:32+00:00,1666095231824166912,"A yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to weather conditions from wildfires:
· Barrington, N.S.
· Barrington Passage, N.S.
· Shelburne, N.S.
· Tantallon, N.S.

(3/5)",canadaposthelps,0,0
2023-06-06 14:50:31+00:00,1666095228930134016,"Today, there are no deliveries in the following regions as weather conditions from wildfires have made it unsafe
·Port Clyde, N.S.
·Clyde River, N.S

Delivery will resume once conditions improve and it’s safe to do so. The safety of our employees is our number one priority
(2/5)",canadaposthelps,0,0
2023-06-06 14:50:31+00:00,1666095226501607432,"Canada Post Service Alerts for June 6: Red and yellow delivery service alerts issued for parts of Nova Scotia

(1/5)",canadaposthelps,0,0
2023-06-06 14:48:37+00:00,1666094751219867648,@ShNa_Jaii sender to confirm the details with them! 2/2,canadaposthelps,0,0
2023-06-06 14:48:37+00:00,1666094750053834756,"@ShNa_Jaii Hi, our apologies, items are typically returned to sender due to incorrect/incomplete address. The reason for the return will be listed on the item itself. We're not allowed to interfere with the return, if the item is being return to sender, we ask that you contact the 1/2",canadaposthelps,0,0
2023-06-06 14:37:54+00:00,1666092052873093121,i have a feeling that someone in the canada post plant in montreal keeps stealing my visa gift cards from rbc,brandonsears,1,0
2023-06-06 13:59:11+00:00,1666082308481511428,"@pbontoast1 @MathNerdJeremy On a similar theme, why does Canada send mail by Canada Post and while in the UK the Royal Mail handles post?",ASquared62,1,0
2023-06-06 13:57:20+00:00,1666081843618390020,@trichomics @musqueam @CityofVancouver @WadeGrant Hi Jonathan. Thx for the question. City staff are working closely with @musqueam on the street sign design and setting a date for it to be in effect (including some admin matters like coordinating with Canada Post and notifying local residents of their address change).,LisaDominato,1,0
2023-06-06 13:53:45+00:00,1666080940748337153,Canada post has alerted me to a delivery arriving today but I don't actually know what it is hahaha but it looks like I'll have to sign for import fees so I'm GUESSING it's my playdate? I never got an email confirming that though,SpikeAllosaur,0,0
2023-06-06 13:43:37+00:00,1666078391672487942,"@AnkitDa89493453 Hi there, please note that post office hours on our website may differ from the actual business hours at each location. We appreciate your understanding and thank you for your patience.",canadaposthelps,0,0
2023-06-06 13:19:04+00:00,1666072212468531206,"@mattdagley @novascotiatoo We’ve been trying to get our rates down for years now, $16 is pretty good for Canada Post, especially with the fuel surcharge they place on everything.",tidalsalt,1,0
2023-06-06 13:19:03+00:00,1666072209020911616,"@cookiedoo018 Hi, can you send us your tracking number in a DM so that we may assist you.",canadaposthelps,0,0
2023-06-06 13:15:31+00:00,1666071319497015296,! @cityoftoronto requires mail-in ballots be received 11 days before election day. Add mailing time via Canada Post; voters need to submit their ballots two weeks before or well before leading-candidate preferences are known. Nice way for the bureaucrats to rig the election,donaldpwalker,0,0
2023-06-06 13:09:06+00:00,1666069706237788160,Canada Post and I officially have beef,PeacheePea,1,0
2023-06-06 12:04:34+00:00,1666053466907705349,"@FightGuyStudio @LBSamuelsson @CDNcapamerica @GiantSlayerRPGs @BorednIndiana No I mean you said you're not in Canada so Im asking how you're planning to ship within Canada? 

Chit chats is usually about $1 less than Canada Post. It's the only option I'm aware of that has a discount on tracked shipping within Canada vs Canada Post.",greenleafgeek,1,0
2023-06-06 09:55:01+00:00,1666020860640067584,Me and Canada Post have the most beef 🤚🏼,erinkearle,0,1
2023-06-06 03:28:26+00:00,1665923577088995330,@gojosboobs Sure hope so ;3; it might take a little longer depends i can never predict how fast canada post is tbh 😭,tsukimqru,0,0
2023-06-06 02:01:34+00:00,1665901715143499777,"‘People Waiting’ by the late John Hooper was originally commissioned by Canada Post in 1975. The public art pieces are now located inside the uptown Saint John pedway, following repairs and restoration.  https://t.co/S4agofqVhY",CTVAtlantic,7,3
2023-06-06 01:37:54+00:00,1665895757193396225,"@canadapostcorp I was at CanadaPost location 3938 Cottrelle Blvd, Brampton L6P1T8 today at 8.30pm. The working hours are until 9pm, still the associate lady refused to take my urgent mail. She was rude and refused to take any mail from many customers like me. Please take action.",AnkitDa89493453,0,0
2023-06-06 01:35:41+00:00,1665895200927916033,"‘People Waiting’ by the late John Hooper was originally commissioned by Canada Post in 1975. The public art pieces are now located inside the uptown Saint John pedway, following repairs and restoration.

https://t.co/cv62rx1kXo",CTV_Liveat5,2,0
2023-06-06 01:22:31+00:00,1665891886006140928,"I love how Canada post's tracking info goes from ""lol we don't have the package yet"" to ""we're outside your house"" with no in between.",_robin_sparkles,0,0
2023-06-05 23:54:58+00:00,1665869853901684738,"Where there is a Canada Post Office, there is Bitcoin https://t.co/MhNlhEqyvl",v1v1ncety,0,0
2023-06-05 23:28:39+00:00,1665863231812845568,I guess he is the governments mascot too @OccTranspo he’s all over the Canada Post campus https://t.co/6h0p3RaBGO,nowinyow,1,0
2023-06-05 22:55:31+00:00,1665854894287331329,"@pgreco3 I just received a ""torn"" package from this number, in a Canada Post Bag who said they were sorry about my damaged ?order?. I never ordered anything. Long bag with corner ripped, contents (whatever they were) missing.",RitaNorell,0,0
2023-06-05 22:48:19+00:00,1665853081626574849,@kinsellawarren Illegal in Canada; widely available on the interweb for some time now. Delivery by Canada Post.,micoffey,1,0
2023-06-05 21:41:04+00:00,1665836157794385921,"@RodKahx 1. Sell the CBC
2. Sell Canada Post
3. Privatize Corrections Canada
4. End EI
5. Open the Constitution and kill universal single payer health care. 

I could go on.",ThatShirtStore,8,0
2023-06-05 21:31:08+00:00,1665833659373428736,"Finally Canada post released my sheeit😭🙏😂
Newest member on the shelf added🫡
My @SleekGeekNFT Robo from @LibertySquareHQ 
Proper quality, proper packaging, needa get them a better setup but it’ll do for now😉
LFG😤 https://t.co/ONUqfxw9dg",SMaLLZ_84,18,4
2023-06-05 20:37:05+00:00,1665820056247324673,@1whsfl @HuukedOnFonix @PierrePoilievre Canada Post has been adding a fuel surtax from 1990 so not cuz of carbon tax.,kmacky5,0,0
2023-06-05 20:24:15+00:00,1665816825345581057,"When more information is available, it will be posted on our Closures and Interruptions webpage: https://t.co/aB7hQ0xEYc.

We thank those affected for their patience in this difficult time.",canadaposthelps,0,0
2023-06-05 20:24:14+00:00,1665816823399428098,"• Barrington Passage, N.S.
• Clarks Harbour, N.S.
• Hammonds Plains, N.S.
• Head of St. Margarets Bay, N.S.
• Lewis Lake, N.S.
• Lockeport, N.S.
• Lucasville, N.S.
• McGray, N.S.
• Middle Sackville, N.S.
• Tantallon, N.S.
• Upper Sackville, N.S.",canadaposthelps,0,0
2023-06-05 20:24:14+00:00,1665816821037948930,"A yellow service alert means we are going to do our best to deliver, but there may be delays in the following regions due to weather conditions from wildfires:",canadaposthelps,0,0
2023-06-05 20:24:13+00:00,1665816819368689668,Delivery will resume once conditions improve and it’s safe to do so. The safety of our employees is our number one priority.,canadaposthelps,1,2
